,latitude,longitude,property_type,num_bathrooms,num_bedrooms,num_floors,num_recepts,new_home,loc_class,price
1199,50.938896,-2.6417900000000003,Terraced house,1.0,2.0,0.0,1.0,0.0,3,150000.0
1200,51.323505,-2.976676,Detached house,2.0,4.0,0.0,4.0,0.0,1,525000.0
1201,51.281677,-2.77537,Semi-detached bungalow,0.0,2.0,0.0,0.0,0.0,-1,195000.0
1202,50.917915,-2.68297,Cottage,1.0,2.0,0.0,2.0,0.0,24,220000.0
1203,50.89385,-2.995855,Detached house,2.0,3.0,0.0,1.0,1.0,1,350000.0
1204,51.21024,-2.682498,Semi-detached house,0.0,3.0,3.0,2.0,1.0,4,365995.0
1205,50.941986,-2.6539740000000003,Detached house,3.0,4.0,0.0,1.0,0.0,1,310000.0
1206,51.029007,-3.139626,End terrace house,2.0,3.0,0.0,1.0,1.0,2,220000.0
1207,50.960117,-2.774048,Semi-detached house,1.0,3.0,0.0,2.0,0.0,4,200000.0
1208,51.018837,-2.576757,End terrace house,0.0,3.0,0.0,0.0,0.0,2,245000.0
1209,51.35879,-2.919705,Flat,1.0,2.0,0.0,1.0,0.0,0,125000.0
1210,51.350815,-2.92885,Flat,1.0,1.0,0.0,1.0,0.0,0,125000.0
1211,51.33234,-2.981184,Flat,1.0,1.0,0.0,0.0,0.0,0,135000.0
1212,51.237923,-2.994444,Flat,1.0,3.0,0.0,1.0,0.0,0,157500.0
1213,51.123177,-2.978888,Semi-detached bungalow,0.0,3.0,0.0,0.0,0.0,13,215000.0
1214,51.154167,-3.065022,Detached house,0.0,3.0,0.0,0.0,0.0,1,329950.0
1215,51.08777,-3.01118,Detached house,0.0,4.0,0.0,0.0,0.0,1,289950.0
1216,50.948364,-2.812159,Terraced house,1.0,3.0,0.0,1.0,0.0,3,225000.0
1217,51.22994600000001,-2.980623,Semi-detached house,1.0,3.0,0.0,1.0,0.0,4,220000.0
1218,51.347336,-2.965796,Flat,1.0,2.0,0.0,1.0,0.0,0,147500.0
1219,51.371567,-2.91657,Detached house,2.0,3.0,0.0,2.0,0.0,1,295000.0
1220,51.128597,-2.98572,Semi-detached bungalow,0.0,2.0,0.0,0.0,0.0,13,160000.0
1221,51.01186,-3.074274,Semi-detached house,1.0,2.0,0.0,2.0,0.0,4,150000.0
1222,50.95072,-2.652986,Flat,1.0,2.0,0.0,1.0,0.0,5,100000.0
1223,51.12329,-2.998224,Flat,2.0,2.0,0.0,1.0,0.0,0,104950.0
1224,51.05442,-2.414962,Flat,1.0,2.0,0.0,1.0,0.0,6,110000.0
1225,50.87614,-2.794842,Terraced house,2.0,3.0,0.0,1.0,0.0,3,185000.0
1226,50.915966,-2.715859,Terraced house,2.0,3.0,0.0,1.0,0.0,3,275000.0
1227,50.94178400000001,-2.659223,Terraced house,1.0,3.0,0.0,1.0,0.0,3,200000.0
1228,51.022415,-3.099512,Flat,2.0,2.0,0.0,1.0,1.0,0,399000.0
1229,51.19318,-2.564764,Semi-detached house,2.0,4.0,0.0,2.0,0.0,4,315000.0
1230,51.202362,-3.480334,Terraced house,1.0,2.0,0.0,2.0,0.0,20,185000.0
1231,51.11518,-2.744835,Semi-detached house,1.0,3.0,0.0,2.0,0.0,4,230000.0
1232,51.28674,-2.793337,Lodge,2.0,3.0,0.0,1.0,0.0,-1,140000.0
1233,51.022415,-3.099512,Semi-detached house,2.0,2.0,0.0,1.0,1.0,4,299950.0
1234,51.436783,-2.857509,Semi-detached house,3.0,7.0,0.0,0.0,0.0,4,550000.0
1235,51.056133,-2.837273,Mobile/park home,2.0,2.0,0.0,0.0,1.0,-1,134995.0
1236,51.205166,-3.4731660000000004,Detached house,1.0,3.0,0.0,1.0,0.0,1,362000.0
1237,51.055733,-2.730939,Semi-detached house,2.0,4.0,0.0,2.0,0.0,4,345000.0
1238,51.011864,-2.480053,Detached bungalow,1.0,3.0,0.0,1.0,0.0,23,365000.0
1239,51.00924000000001,-2.68203,Flat,1.0,2.0,0.0,1.0,0.0,5,85000.0
1240,51.12947,-2.734618,Flat,1.0,1.0,0.0,1.0,0.0,5,115000.0
1241,51.171284,-2.782285,Detached house,1.0,4.0,0.0,2.0,1.0,1,410000.0
1242,50.95175,-2.656744,Semi-detached house,1.0,3.0,2.0,2.0,0.0,4,125000.0
1243,51.23452800000001,-2.326073,End terrace house,1.0,3.0,3.0,1.0,0.0,19,249950.0
1244,51.021255,-2.873529,Semi-detached house,2.0,4.0,0.0,2.0,0.0,4,335000.0
1245,50.86991,-2.961677,Terraced house,1.0,1.0,0.0,1.0,0.0,3,120000.0
1246,50.954723,-2.662282,End terrace house,1.0,3.0,0.0,1.0,0.0,2,175000.0
1247,51.025314,-3.106653,Terraced house,1.0,3.0,0.0,1.0,0.0,3,260000.0
1248,51.030327,-2.560643,Detached house,2.0,4.0,0.0,2.0,0.0,1,500000.0
1249,51.035995,-3.101103,Detached house,1.0,4.0,0.0,3.0,0.0,1,385000.0
1250,51.38857700000001,-2.785698,Semi-detached house,0.0,4.0,0.0,0.0,0.0,4,350000.0
1251,51.17381,-3.3252230000000003,Detached bungalow,1.0,2.0,0.0,2.0,0.0,26,245000.0
1252,51.05559,-2.402403,Detached house,2.0,4.0,0.0,2.0,0.0,1,317500.0
1253,51.022415,-3.099512,Semi-detached house,1.0,1.0,0.0,1.0,1.0,4,289000.0
1254,50.958218,-2.615502,End terrace house,1.0,3.0,0.0,1.0,0.0,2,170000.0
1255,51.19309000000001,-2.563718,Detached house,3.0,6.0,0.0,4.0,0.0,1,515000.0
1256,50.947025,-2.661119,Bungalow,1.0,2.0,0.0,1.0,0.0,14,189950.0
1257,50.95273,-2.617736,Terraced house,1.0,3.0,0.0,1.0,0.0,3,169950.0
1258,51.108738,-2.994639,Detached house,2.0,4.0,0.0,1.0,0.0,1,288000.0
1259,51.0233,-3.039192,Detached house,3.0,4.0,0.0,1.0,0.0,1,400000.0
1260,51.449768,-2.843505,Detached house,2.0,6.0,0.0,2.0,0.0,1,650000.0
1261,51.351868,-2.959157,Detached bungalow,1.0,2.0,0.0,2.0,0.0,8,330000.0
1262,51.030327,-2.560643,Semi-detached house,1.0,2.0,0.0,2.0,0.0,4,200000.0
1263,51.332165,-2.832345,Detached house,0.0,4.0,0.0,0.0,0.0,1,450000.0
1264,51.029762,-2.525086,Bungalow,2.0,3.0,0.0,3.0,0.0,14,375000.0
1265,50.92325,-2.654849,Detached bungalow,3.0,5.0,0.0,4.0,0.0,8,750000.0
1266,50.973885,-2.878279,Bungalow,3.0,5.0,1.0,2.0,0.0,14,389995.0
1267,51.431118,-2.857288,Detached house,1.0,4.0,0.0,1.0,0.0,1,320000.0
1268,51.0375,-3.065125,Semi-detached bungalow,1.0,2.0,0.0,1.0,0.0,13,190000.0
1269,51.428356,-2.845499,Detached house,1.0,3.0,0.0,2.0,0.0,1,325000.0
1270,51.014786,-3.0757950000000003,Semi-detached house,3.0,4.0,0.0,3.0,0.0,4,275000.0
1271,51.35243,-2.928595,Semi-detached house,1.0,3.0,0.0,2.0,0.0,4,219995.0
1272,50.876305,-2.970493,Bungalow,1.0,2.0,1.0,2.0,0.0,10,215000.0
